year,month,month_number,generation_mln_kwh,thermal_mln_kwh,wind_mln_kwh,hydro_mln_kwh,other_generation_mln_kwh,hydro_regulatory_mln_kwh,hydro_seasonal_mln_kwh,hydro_small_mln_kwh,import_mln_kwh,transit_mln_kwh,total_resource_mln_kwh,plant_losses_self_consumption_mln_kwh,delivery_to_network_mln_kwh,supplied_to_consumers_mln_kwh,distribution_companies_mln_kwh,direct_customers_mln_kwh,self_consumption_stopped_plants_mln_kwh,export_mln_kwh,supplied_consumers_and_export_mln_kwh,transportation_expenses_mln_kwh,total_demand_including_losses_mln_kwh,total_consumption_mln_kwh,source_name,source_url,notes
2025,January,1,923.539,364.82,6.523,552.196,0.0,193.043,298.092,61.061,334.549,0.0,1258.088,22.404,1235.684,1220.609,1002.449,216.749,1.412,0.341,1220.95,14.733,1235.684,1257.747,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,February,2,859.482,411.671,5.613,442.198,0.0,195.163,203.829,43.206,388.082,0.0,1247.564,25.671,1221.893,1203.607,991.575,210.477,1.555,0.075,1203.682,18.211,1221.893,1247.489,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,March,3,1026.188,188.825,6.47,830.893,0.0,244.227,488.356,98.31,251.5,20.454,1298.142,21.145,1276.996,1231.559,946.117,283.627,1.815,6.794,1258.807,18.189,1276.996,1270.894,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,April,4,1167.611,0.313,6.935,1160.363,0.0,371.626,645.094,143.643,0.352,159.224,1327.187,16.04,1311.147,1125.811,840.908,283.344,1.56,0.01,1285.045,26.102,1311.147,1167.953,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,May,5,1306.732,0.0,7.847,1298.885,0.0,450.417,688.998,159.47,13.672,43.205,1363.608,17.443,1346.166,1072.433,775.43,295.301,1.702,201.339,1316.976,29.189,1346.166,1119.065,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,June,6,1342.523,5.953,9.035,1327.535,-0.0,710.457,501.013,116.065,1.467,112.571,1456.56,16.44,1440.12,1060.702,762.59,295.971,2.141,234.881,1408.154,31.966,1440.12,1109.109,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,July,7,1382.259,55.833,6.081,1320.345,0.0,788.403,434.471,97.472,12.765,86.744,1481.767,19.439,1462.329,1290.9,971.055,318.009,1.836,51.608,1429.252,33.077,1462.329,1343.416,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,August,8,1267.252,316.568,8.036,942.302,0.346,555.674,325.942,60.685,107.708,0.0,1374.96,29.246,1345.714,1311.975,992.782,317.521,1.672,10.029,1322.004,23.71,1345.714,1364.932,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,September,9,1107.063,294.371,7.164,804.746,0.782,411.753,320.875,72.118,22.586,0.0,1129.649,23.966,1105.684,1078.252,789.89,286.823,1.54,5.703,1083.956,21.728,1105.684,1123.946,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,October,10,1154.948,231.792,7.097,914.761,1.298,492.149,324.299,98.313,16.495,200.371,1371.814,21.459,1350.355,1126.921,831.96,293.563,1.398,0.226,1327.518,22.837,1350.355,1171.217,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,November,11,1129.109,334.853,2.891,790.147,1.218,480.719,237.826,71.602,111.248,42.763,1283.121,23.727,1259.393,1199.593,887.765,310.498,1.33,0.132,1242.488,16.906,1259.393,1240.311,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
2025,December,12,1170.974,562.08,5.711,602.255,0.928,344.522,206.767,50.966,297.104,0.0,1468.078,32.923,1435.155,1413.91,1094.64,317.915,1.355,0.022,1413.932,21.223,1435.155,1468.055,ESCO,https://esco.ge/en/energy-balance/by-year-1/balance-2025,manual entry from ESCO 2025 electricity balance
